INGREDIENT,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12
MUSHROOM,TEMPEH,EGGPLANT,ASPARAGUS,BELL PEPPERS,ZUCCHINI,NONE,NONE,NONE,NONE,NONE,NONE,NONE
POTATO,SWEET POTATO,PARSNIP,DASHEEN,MALANGA,JICAMA,LOTUS ROOT,JERUSALEM ARTICHOKE,RUTABAGA,CAULIFLOWER,NONE,NONE,NONE
THYME,ROSEMARY,SAGE,SAVORY,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
ONIONS,LEEKS,SHALLOTS,GREEN ONIONS,DAIKON,GARLIC,NONE,NONE,NONE,NONE,NONE,NONE,NONE
GARLIC,GARLIC POWDER,SHALLOTS,ONIONS,GARLIC SHIVES,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
OLIVE OIL,WALNUT OIL,ALMOND OIL,HAZELNUT OIL,CORN,PEANUT OIL,COOKING SPRAY,NONE,NONE,NONE,NONE,NONE,NONE
MILK,GOAT MILK,OAT MILK,BUTTERMILK,SOY MILK,RICE MILK,ALMOND MILK,WATER,SOUR CREAM,NONE,NONE,NONE,NONE
WALNUTS,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
BRIE,CAMEMBERT,EXPLORATEUR,PAGLIETTA,CARRE DE L'EST,COULOMMIERS,REBLOCHON,NONE,NONE,NONE,NONE,NONE,NONE
ENDIVE,CURLY ENDIVE,RADICCHIO,BORAGE,MUSTARD GREENS,ARUGULA,SPINACH
UNSALTED BUTTER,MARGARINE,SHORTENING,LARD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
SALMON FILLET,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
PINE NUTS,WALNUTS,ALMONDS,HAZELNUTS,CASHEWS,PEANUTS,SUNFLOWER SEEDS,NONE,NONE,NONE,NONE,NONE,NONE
TAGLIATELLE,FETTUCCINE,PAPPARDELLE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
BROCCOLI,BROCCOFLOWER,CAULIFLOWER,BROCCOLI RAAB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
LEMON JUICE,GRAPEFRUIT,LIMES,CITRONS,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
MACARONI,FARFALLE,CONCHIGLIE,PENNE,RIGATONI,FUSILLI,GEMELLI,RUOTE,ZITI,PERCIATELLI,NONE,NONE,NONE
MOZZARELLA,SCARMORZA,CACCIOCAVALLO,STRING CHEESE,QUESO BLANCO,PROVOLONE,KASHKAVAL,KASSERI,EMMENTHAL,BEL PAESE,FORTINA,CHEDDAR,SMOKED TOFU
HAMBLUBS,CANADIAN BACON,PORK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RUCOLA,WATERCRESS,SPINACH,BELGIAN ENDIVE,ESCAROLE,DANDELION GREENS,MUSTARD GREENS,CHICORY,RADICCHIO,NONE,NONE,NONE,NONE
PEPPER,CAYENNE PEPPER,FRESNO CHILE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
GRATED EXTRA TRADED CHEESE,EDAM,SANSOE,BEL PAESE,JACK,MUENSTER,NONE,NONE,NONE,NONE,NONE,NONE,NONE
DOUGH,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
SHRIMPS,DUBLIN BAY SHRIMPS,CRAYFISH,LOBSTER,SCALLOPS,CRAB,IMITATION SEEFOOD,CHICKEN,NONE,NONE,NONE,NONE,NONE
EGGS,GELATIN,CORNSTARCH,MAYONNAISE,BANANAS,SILKEN TOFU,NONE,NONE,NONE,NONE,NONE,NONE,NONE
WHIPPED CREAM,BREAKFAST CREAM,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
